Product ID,Release,Product Position,section,terms,sku,name,description,Seasonal,Promotion,price,Sales Volume
179801,10/21/2023,Front of Store,MAN,jackets,311307255-800-2,CONTRASTING PATCHES BOMBER JACKET,Varsity jacket with elastic collar and long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,Yes,No,$169.00 ,2608
183243,7/1/2023,Front of Store,MAN,jackets,328250627-251-46,SUIT JACKET,Straight fit jacket made of dense stretch fabric. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,No,Yes,$169.00 ,1524
177771,1/22/2023,End-cap,MAN,t-shirts,281883711-071-2,SUIT JACKET,Jacket with lightly padded interior. Corduroy lapel collar. Long sleeves. Patch pockets at hip. Front button closure.,Yes,Yes,$69.90 ,1764
171860,1/4/2023,Aisle,,t-shirts,323646471-802-2,PADDED DENIM JACKET,Slightly cropped denim jacket. Lapel collar and long sleeves with buttoned cuffs. Flap patch pocket at chest and side hip. Washed effect. Front button closure.,No,Yes,$109.00 ,707
166331,7/9/2023,Aisle,WOMAN,sweaters,324186867-642-2,ASYMMETRICAL WOOL AND SILK BLEND SWEATER,Wool and silk blend sweater. Asymmetric neckline and long sleeves.,Yes,Yes,$59.90 ,2877
166331,7/9/2023,Aisle,WOMAN,sweaters,324186867-642-2,ASYMMETRICAL WOOL AND SILK BLEND SWEATER,Wool and silk blend sweater. Asymmetric neckline and long sleeves.,Yes,Yes,$59.90 ,2877
,,,,,,,,,,,
178281,3/8/2024,End-cap,MAN,jackets,315758723-401-2,BOMBER JACKET,Varsity jacket. High collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front snap button closure.,Yes,No,$169.00 ,1145
155848,4/24/2023,End-cap,WOMAN,sweaters,324597432-800-2,MOCK NECK WOOL AND SILK BLEND KNIT TOP,Wool and silk blend top. High collar and long sleeves.,No,Yes,$49.90 ,1942
199233,1/15/2024,Aisle,MAN,jackets,330590505-500-2,CONTRASTING PATCHES BOMBER JACKET,Oversized jacket. Notched lapel collar and long sleeves. Flap pockets at hip and interior pocket. Front button closure.,No,Yes,$159.00 ,2222
181502,11/7/2023,Front of Store,WOMAN,sweaters,323175653-803-2,SOFT JEWEL SWEATER,Sweater made of soft touch fabric. Round neckline with jewel appliqués and long sleeves.,No,Yes,$39.90 ,2591
174708,3/5/2023,Front of Store,MAN,sweaters,317889153-700-3,ABSTRACT JACQUARD SWEATER,Full cut cotton knit sweater. Round neck and long sleeves. Rib trim.,Yes,No,$59.90 ,529
175059,8/19/2023,Aisle,MAN,jackets,311292572-401-2,LIGHTWEIGHT BOMBER JACKET,Lightweight jacket made of technical fabric. Round neck and long sleeves. Welt pockets at hip. Interior pocket. Rib trim. Front zip closure.,No,Yes,$49.90 ,2170
110329,2/3/2023,Front of Store,MAN,shoes,314937773-800-39,CONTRAST SOLE LEATHER SNEAKERS,Sneakers. Made of leather. Upper in a combination of pieces and finishes. Lacing with six pairs of eyelets. Rounded shape. Chunky sole.,Yes,No,$69.90 ,2397
,,,,,,,,,,,
127644,5/14/2023,Front of Store,MAN,shoes,311287075-120-39,TOPSTITCH SNEAKERS,Sneakers. Pieces and topstitching at upper. Lacing with six pairs of eyelets. Contrasting slightly chunky soles.,Yes,No,$45.90 ,1498
135036,7/7/2023,End-cap,WOMAN,sweaters,314152967-485-2,CABLE KNIT METALLIC SWEATER,Round neck long sleeve sweater. Metallic fabric detail and frayed trim.,No,Yes,$49.90 ,1435
150424,6/12/2023,Front of Store,MAN,jackets,313008692-514-2,PADDED CORDUROY OVERSHIRT,Overshirt with quilted interior. Lapel collar and long sleeves with buttoned cuffs. Flap patch pockets at chest and in-seam pockets at side hip. Front snap button closure.,Yes,No,$79.90 ,2067
171776,7/9/2023,Aisle,MAN,jeans,275600408-400-2,DENIM SHIRT,Relaxed fit shirt made of denim fabric. Lapel collar and short sleeves. Chest patch pocket. Washed effect. Front button closure.,No,Yes,$12.99 ,1685
165786,5/13/2023,End-cap,MAN,sweaters,315075917-803-2,CONTRAST INTERIOR SWEATER,Cotton blend sweater. Round neck and long sleeves. Contrast interior. Rib trim.,Yes,No,$59.90 ,1278
115153,2/28/2024,Aisle,WOMAN,sweaters,313890650-712-2,ALPACA BLEND OPEN KNIT SWEATER,Sweater made with 63% alpaca. Round neck and long sleeves.,No,No,$79.90 ,1736
175584,2/22/2023,Front of Store,MAN,jeans,324908098-800-38,BAGGY FIT JEANS LIMITED EDITION,Baggy jeans. Five pockets. Washed effect. Front zip and button closure.,No,No,$69.90 ,2084
132007,2/21/2023,Aisle,MAN,shoes,276378605-515-39,RETRO SNEAKERS,Sneakers. Upper in a combination of pieces and materials. Lacing with seven pairs of eyelets. Quilted back piece. Chunky sole. Retro style.,Yes,No,$9.99 ,2491
127314,10/30/2023,End-cap,MAN,shoes,311287147-723-39,FAUX SHEARLING LINED SUEDE BOOTS,Ankle boots. Made of leather with a suede finish. Faux shearling interior and side detail. Rounded shape. Welt around upper. Back pull tab. Chunky lug soles.,Yes,Yes,$99.90 ,2076
129898,12/22/2023,End-cap,MAN,t-shirts,322677489-800-2,HEART PRINT T-SHIRT,Boxy fit T-shirt with round neck and short sleeves. Contrasting prints at shoulder and back.,No,No,$39.90 ,1866
186638,5/6/2023,End-cap,MAN,shoes,311302598-500-39,RETRO RUNNING SNEAKERS,Running shoes. Upper in a combination of pieces and materials. Lacing with seven pairs of eyelets. Chunky lug soles. Retro-inspired design.,No,Yes,$59.90 ,1296
147690,2/3/2024,Aisle,MAN,t-shirts,322909502-819-2,STRIPED JACQUARD T-SHIRT,Relaxed fit T-shirt with round neck and short sleeves.,No,Yes,$39.90 ,881
110295,12/15/2023,End-cap,MAN,jackets,322547863-811-2,HOODED DENIM JACKET,Boxy fit jacket. High collar with adjustable hood and long sleeves with buttoned cuffs. Patch pockets with flaps at chest. Front straps with multi-functional ring. Washed effect. Front hidden zip and snap button closure.,No,Yes,$129.00 ,1448
149315,6/26/2023,End-cap,MAN,jackets,311292541-802-2,FLEECE BOMBER JACKET,Jacket made of faux shearling fabric. Rib elastic collar and long sleeves. Welt pockets at hip and interior pocket. Rib trim. Front zip closure.,No,Yes,$109.00 ,718
117751,9/17/2023,Aisle,MAN,jackets,323050745-798-97,CONTRAST JACQUARD JACKET,Full cut jacket with lapel collar and long sleeves. Front button closure.,No,No,$89.90 ,2749
182099,11/4/2023,Aisle,MAN,t-shirts,330478123-712-2,OVERSIZE FIT T-SHIRT,Oversized T-shirt. Round neck and short sleeves.,No,Yes,$39.90 ,1978
119044,7/3/2023,Aisle,MAN,sweaters,320026789-714-2,CROPPED LEATHER JACKET,Relaxed fit overshirt made of 25% wool fabric. Lapel collar and long sleeves with buttoned cuffs. Patch pocket at chest and side pockets at hip. Front button closure.,Yes,No,$169.00 ,1140
168270,8/26/2023,End-cap,MAN,shoes,311292281-203-39,MULTIPIECE SNEAKERS,Running shoes. Upper in a combination of pieces and finishes. Lacing with six pairs of eyelets. Chunky soles with irregular design. Lug soles. Trek style.,Yes,Yes,$69.90 ,1525
126979,1/21/2023,Front of Store,WOMAN,sweaters,311297787-806-1,KNIT SWEATER WITH PIPING,Round neck long sleeve sweater. Contrasting piping detail. Rib trim.,No,No,$49.90 ,2141
158958,4/29/2023,End-cap,MAN,t-shirts,320111404-428-2,RIBBED KNIT T-SHIRT,Cropped fit knit shirt. Round neck and long sleeves. Washed effect.,No,No,$45.90 ,903
173550,10/2/2023,End-cap,MAN,jackets,323646471-802-2,POCKET OVERSHIRT,Overshirt with lapel collar and long sleeves with buttoned cuffs. Chest patch pocket. Front button closure.,Yes,No,$59.90 ,1431
119049,12/6/2023,Aisle,MAN,jackets,323216360-406-2,POCKET DENIM OVERSHIRT,Boxy fit overshirt. Lapel collar and long sleeves with buttoned cuffs. Chest patch pockets. Washed effect. Front button closure.,Yes,No,$89.90 ,1659
193332,2/17/2023,Aisle,MAN,shoes,319205037-800-39,WOVEN LEATHER SLIDES,Sandals. Made of leather. Three woven wide straps at instep. Chunky sole.,No,Yes,$49.90 ,1237
122484,11/4/2023,Aisle,WOMAN,sweaters,319473750-809-1,V-NECK KNIT SWEATER,V-neck sweater with long sleeves. Side vents at hem.,Yes,Yes,$47.90 ,558
113143,5/5/2023,Aisle,MAN,jackets,316207900-710-2,HERRINGBONE TEXTURED JACKET,Jacket made of wool blend fabric. Lapel collar and long sleeves. Welt pockets at hip. Front zip closure.,Yes,Yes,$129.00 ,2663
182157,6/7/2023,Aisle,MAN,jackets,322972485-431-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,No,No,$159.00 ,2421
166421,1/24/2024,End-cap,MAN,shoes,311302552-800-39,HIKING BOOTS,Lace-up boots. Upper in a combination of pieces and finishes. Laces with metal appliqués and seven pairs of eyelets. Welt detail around upper. Rounded shape. Chunky lug soles.,No,Yes,$79.90 ,2878
138505,10/27/2023,Front of Store,MAN,jackets,335663355-406-2,RIPPED DENIM JACKET,Denim jacket with lapel collar and long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. All over washed effect and rips. Front button closure.,No,No,$69.90 ,2478
140142,1/23/2024,Front of Store,WOMAN,sweaters,328207551-500-2,KNIT OPEN BACK PEARLY SWEATER,High collar sweater with long sleeves. Open back detail and pearl appliqués. Back button closure.,No,Yes,$49.90 ,606
162699,9/16/2023,End-cap,MAN,sweaters,329282612-401-2,LEATHER BIKER JACKET,Round neck long sleeve sweater. Metallic fabric detail and frayed trim.,Yes,No,$89.90 ,2732
172015,8/14/2023,End-cap,MAN,t-shirts,313008692-514-2,FAUX LEATHER BOMBER JACKET,Cropped overshirt. Lapel collar and long sleeves with buttoned cuffs. Front patch pockets. Irregular finished seams. Front button closure.,Yes,Yes,$139.00 ,2622
137598,11/6/2023,Aisle,MAN,jackets,329158644-605-2,POCKET JACKET,Regular fit jacket with lapel collar and long sleeves. Patch pockets at chest and hip. Front button closure.,Yes,No,$139.00 ,2839
,,,,,,,,,,,
125398,10/20/2023,Aisle,MAN,shoes,311307610-400-39,SUEDE LACELESS SNEAKERS,Slip on sneakers. Made of leather with a suede finish. Upper in a combination of pieces. Chunky sole.,Yes,Yes,$69.90 ,1350
141434,12/10/2023,Front of Store,MAN,jackets,311307610-400-39,FAUX LEATHER PUFFER JACKET,Jacket with lightly padded interior. Rib collar and long sleeves. Flap pockets at waist. Rib trim. Front asymmetric zip closure.,Yes,No,$39.90 ,2870
117590,2/11/2023,End-cap,MAN,jackets,320298385-807-2,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,No,No,$79.90 ,2968
154846,4/5/2023,End-cap,MAN,t-shirts,328232452-898-2,PRINTED CROPPED FIT SHIRT LIMITED EDITION,Cropped shirt. Round neckline. Contrasting front print. Washed effect. Irregular trim.,No,Yes,$39.90 ,917
168516,6/30/2023,Front of Store,MAN,t-shirts,336446858-822-2,LIGHTWEIGHT BOMBER JACKET,Jacket made of faux shearling fabric. V-neckline and long sleeves with elastic cuffs. Lined interior with structured mesh fabric. Welt pockets at hip. Adjustable hem with side elastics. Front snap button closure.,No,Yes,$89.90 ,2168
135521,7/26/2023,End-cap,WOMAN,sweaters,322677494-446-1,FINE KNIT CROP SWEATER,Cropped fine knit sweater with round neck and long sleeves.,Yes,No,$39.90 ,2835
151925,3/20/2023,End-cap,MAN,jackets,320774184-800-97,VINTAGE EFFECT LEATHER BOMBER JACKET,,Yes,Yes,$299.00 ,2179
170364,5/11/2023,Aisle,MAN,shoes,315851805-800-39,STRAP SANDALS,Sandals with two straps. The thin straps hug the instep. Slightly chunky sole.,No,No,$45.90 ,818
162883,12/7/2023,Front of Store,,jackets,311307584-518-2,TECHNICAL PADDED JACKET,Jacket made of technical fabric with padded interior. High collar with foldable interior hood. Long sleeves with interior rib cuffs. Front pockets with hidden zip closure and interior pocket detail. Adjustable hem with side elastics. Front zip hidden by a snap button flap.,No,Yes,$139.00 ,786
149487,1/12/2024,Aisle,MAN,t-shirts,312978838-611-2,LEATHER JACKET,Boxy fit jacket. Lapel collar and long sleeves with buttoned cuffs. Patch pockets at hip. Washed effect.Asymmetric hem with side vents. Front button closure.,Yes,No,$99.90 ,1258
195103,2/14/2023,Aisle,MAN,t-shirts,330290387-401-2,BOUCLÉ TEXTURED JACKET,Varsity jacket with elastic collar and long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,No,Yes,$109.00 ,2849
116228,3/4/2023,End-cap,MAN,jackets,312363708-800-2,TEXTURED POCKET JACKET,Jacket with lightly padded interior. Lapel collar and long sleeves with buttoned cuffs. Flap pockets at chest and welt pockets at hip. Front button closure.,No,Yes,$89.90 ,647
182866,3/31/2023,Aisle,WOMAN,sweaters,313890656-800-2,KNIT SWEATER WITH BUTTONS,Basic sweater with round neck and long sleeves. Side button details at shoulders.,Yes,No,$39.90 ,1552
139967,7/11/2023,End-cap,MAN,t-shirts,311282631-712-2,OVERSIZED CROPPED JACKET LIMITED EDITION,V-neck sweater with long sleeves. Rib trim.,No,No,$69.90 ,2634
183634,2/14/2023,Front of Store,WOMAN,sweaters,324593343-043-2,BASIC KNIT SWEATER,Long sleeve round neck sweater. Side vents at hem. Rib trim.,Yes,Yes,$27.90 ,2778
192936,9/29/2023,End-cap,MAN,jackets,312368260-800-2,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,Yes,No,$139.00 ,2942
167281,4/15/2023,End-cap,MAN,shoes,311297328-800-39,SUEDE HIGH-TOPS,High top sneakers. Upper in a combination of pieces and materials. Lacing with seven pairs of eyelets. Chunky tonal sole.,Yes,Yes,$59.90 ,892
167640,2/19/2023,End-cap,MAN,jackets,311287132-251-2,HOODED TECHNICAL JACKET,Jacket made of technical fabric. High collar with adjustable drawstring hood. Long sleeves with rib cuffs. Chest welt pocket and hip patch pockets. Interior pocket. Adjustable hem with elastics at sides. Front zip hidden by a snap button flap.,Yes,Yes,$109.00 ,1017
147491,11/29/2023,End-cap,MAN,jeans,326540983-802-36,BAGGY BELTED JEANS,Baggy jeans. Self belt at waist. Front pockets and back patch pockets. Washed effect. Front button closure.,No,No,$59.90 ,1563
185809,2/10/2023,End-cap,WOMAN,sweaters,313890688-330-1,KNIT SWEATER WITH RIPS,Round neck long sleeve sweater. Openwork detail with rips.,No,No,$49.90 ,622
148823,12/20/2022,Aisle,MAN,shoes,320680326-107-39,SUEDE FISHERMAN SANDALS,Fisherman sandals. Made of leather with a suede finish. Crossed straps at front. Buckled ankle strap closure. Slightly chunky soles.,Yes,No,$89.90 ,2211
189118,12/19/2023,Front of Store,MAN,jackets,278112470-800-2,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,Yes,Yes,$69.99 ,952
136738,8/26/2023,Front of Store,WOMAN,sweaters,287414911-803-2,HIGH COLLAR KNIT SWEATER,Sweater with high collar and long sleeves. Front pocket. Side vents at hem. Rib trim.,Yes,No,$7.99 ,542
154676,6/15/2023,Aisle,MAN,jackets,311292623-712-97,FLEECE OVERSHIRT,Regular fit overshirt. Lapel collar and long sleeves with buttoned cuffs. Chest patch pockets. Front button closure.,No,No,$69.90 ,943
193686,9/15/2023,Aisle,MAN,shoes,311292343-700-39,TASSEL LEATHER LOAFERS,Loafers. Made of leather. Smooth upper with ruching at toe. Decorative fringed tassels at instep. Rounded shape. Welt around upper. Chunky lug soles.,No,Yes,$99.90 ,1899
144012,11/20/2023,Front of Store,MAN,jackets,314937772-710-2,OVERSHIRT WITH CONTRASTING TOPSTITCHING,Relaxed fit overshirt made with cotton fabric. Lapel collar and long sleeves with buttoned cuffs. Chest patch pocket. Contrasting topstitching all over the garment. Front button closure.,No,Yes,$59.90 ,743
113435,12/8/2023,Aisle,MAN,jackets,320278659-251-2,RIB COLLAR JACKET,Overshirt made of stretchy fabric. Lapel collar and long sleeves with snap buttoned cuffs. Chest patch pockets. Front snap button closure.,Yes,No,$129.00 ,2973
117725,9/11/2023,Aisle,MAN,jackets,311297489-800-2,CONTRASTING PATCHES HOODED JACKET,Varsity jacket with stretchy collar and contrasting hood. Long sleeves. Welt pockets at hip and interior pocket. Embroidered appliqué and contrast front and back patches. Rib trim. Front snap button closure.,Yes,No,$109.00 ,1506
111979,4/9/2023,Front of Store,MAN,shoes,311307332-202-39,CHUNKY SNEAKERS,Sneakers. Upper in a combination of pieces and textures. Shoelaces with six pairs of eyelets at different heights. Chunky irregular design soles. Retro-inspired design.,No,No,$59.90 ,2734
180176,1/13/2023,End-cap,MAN,jackets,335342680-800-44,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,Yes,Yes,$129.00 ,2220
183825,5/20/2023,Aisle,MAN,jackets,281593208-015-2,PLAID TIE DYE OVERSHIRT,Regular fit overshirt made of cotton. Lapel collar and long sleeves with buttoned cuffs. Chest patch pockets. Front button closure.,Yes,Yes,$19.99 ,2989
118985,5/12/2023,Aisle,MAN,t-shirts,281593208-015-2,PATCH BOMBER JACKET,Vest made of viscose and wool blend fabric. V-neckline. Patch pockets at hip. Front zip closure.,Yes,No,$139.00 ,694
189692,7/8/2023,End-cap,MAN,t-shirts,330077856-251-2,TEXT T-SHIRT,Boxy fit T-shirt. Round neck and short sleeves. Velvet effect print with contrast text.,No,Yes,$39.90 ,1553
165910,4/14/2023,End-cap,WOMAN,sweaters,313890651-712-2,KNIT SWEATER WITH PEARLS,Sweater made with 22% wool and 10% alpaca. Round neck and long sleeves. Faux pearl appliqué.,No,Yes,$69.90 ,2760
146839,3/16/2024,Aisle,MAN,jackets,321496813-710-2,BOMBER JACKET,Jacket with padded interior. Rib elastic collar and long sleeves. Flap pockets at hip and interior pocket. Rib trim. Front zip closure.,No,No,$109.00 ,1525
,,,,,,,,,,,
123150,2/28/2023,End-cap,MAN,jackets,330274270-800-2,CROPPED BOMBER JACKET LIMITED EDITION,Jacket with lightly padded interior. Rib collar and long sleeves. Flap pockets at waist. Rib trim. Front asymmetric zip closure.,No,Yes,$169.00 ,2074
155010,3/27/2024,Aisle,MAN,t-shirts,328232445-800-2,SEMI-SHEER KNIT SHIRT LIMITED EDITION,Slim fit shirt made of wrinkle effect fabric. Round neck and long sleeves.,Yes,Yes,$45.90 ,729
174171,1/26/2024,Front of Store,MAN,jackets,328332050-700-97,EMBROIDERED FOREST JACKET,Jacket with lightly padded interior. Corduroy lapel collar. Long sleeves. Patch pockets at hip. Front button closure.,Yes,Yes,$89.90 ,2273
124981,3/13/2023,Front of Store,MAN,jackets,320264577-800-2,PADDED DENIM JACKET,Cropped jacket with lightly quilted interior. Lapel collar and long sleeves. Flap patch pockets at hip. Washed effect. Rib hems. Front zip closure.,Yes,No,$89.90 ,1832
135490,9/29/2023,Front of Store,MAN,jackets,321151893-609-2,MIXED COLLAR WAXED JACKET,,No,No,$139.00 ,1094
112194,6/26/2023,Aisle,MAN,jackets,314937772-710-2,STRETCH POCKET OVERSHIRT,Varsity jacket made of faux suede fabric. Double welt pockets at hip and interior pocket. Front and back contrasting patch appliqués and embroidery. Rib trim. Front snap button closure.,Yes,Yes,$109.00 ,2187
185774,1/10/2023,End-cap,MAN,t-shirts,316727555-700-2,FAUX SUEDE BOMBER JACKET,Overshirt with lapel collar and long sleeves with buttoned cuffs. Chest patch pocket. Front button closure.,Yes,Yes,$19.99 ,1145
182779,4/13/2023,End-cap,WOMAN,sweaters,324814227-400-2,FAUX FUR JEWEL SWEATER,Round neck short sleeve sweater. Soft feel faux fur fabric. Jewel appliqués.,Yes,Yes,$35.90 ,2097
111521,1/29/2024,Front of Store,MAN,jackets,323672371-507-2,WASHED TECHNICAL JACKET,Jacket made of technical fabric. High collar and long sleeves with adjustable cuffs with snap button straps. Flap patch pockets at hip. Adjustable drawstring hem. Washed effect. Front zip hidden by a snap button flap.,Yes,Yes,$99.90 ,2553
123047,3/28/2024,Aisle,MAN,t-shirts,313027279-800-2,SUIT JACKET IN 100% LINEN,Quilted jacket made of technical fabric. Lapel collar and long sleeves. Welt pockets at hip. Rib trim. Front zip closure.,Yes,No,$109.00 ,2985
,,,,,,,,,,,
